id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg
c_i363,,Comune di Santo Stefano di Magra,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Santo Stefano di Magra,SP,Liguria
z3n82q,,Città metropolitana di Torino,9,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,
c_a783,,Comune di Benevento,11,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Benevento,BN,Campania
c_c309,,Comune di Castiglione del Lago,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Castiglione del Lago,PG,Umbria
usucb,,Università degli Studi di Urbino Carlo Bo,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Università degli Studi di Urbino Carlo Bo,PU,Marche
c_f194,,Comune di Miggiano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Miggiano,LE,Puglia
c_e472,,Comune di Latina,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Latina,LT,Lazio
c_l113,,Comune di Termoli,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Termoli,CB,Molise
c_g291,,Comune Palo Del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Palo del Colle,BA,Puglia
c_f889,,Comune di Nichelino,15,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Nichelino,TO,Piemonte
ciasm,,ASM Costruire Insieme,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Asm Costruire Insieme,AL,Piemonte
arlpa_pa,,ARPA,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale per la Protezione dell'Ambiente della Sicilia,PA,Sicilia
p_cz,,Provincia di Catanzaro,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Provincia di Catanzaro,CZ,Calabria
c_c627,,Comune di Chieri,28,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Chieri,TO,Piemonte
aspan,,ASP Ambito 9,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Asp Ambito 9,AN,Marche
c_m122,,Comune di Volpiano,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Volpiano,TO,Piemonte
asstom,,Azienda Socio Sanitaria Territoriale Ovest Milanese,22,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Asst Ovest Milanese,MI,Lombardia
ires piemonte,,IRES PIEMONTE,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,
unstu_mc,,Università degli Studi di Macerata,9,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' Degli Studi di Macerata,MC,Marche
ires_pie,,IRES Piemonte,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Istituto Ricerche Economico Sociali del Piemonte,TO,Piemonte
c_i703,,Comune di Settimo Torinese,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Settimo Torinese,TO,Piemonte
c_b019,,Comune di Borgomanero,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Borgomanero,NO,Piemonte
c_h096,,Città di Putignano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Putignano,BA,Puglia
udcvvmb,,Unione dei Comuni valdostani Valdigne-Mont-Blanc,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Unione dei Comuni Valdostani Valdigne-Mont-Blanc,AO,Valle d'Aosta/Vallée d'Aoste
c_c852xf,,Unione Pedemontana Parmense,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Unione Pedemontana Parmense,PR,Emilia-Romagna
c_f335,,Comune di Moncalieri,7,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Moncalieri,TO,Piemonte
c_l122,,Comune di Terralba,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Terralba,OR,Sardegna
c_e053,,Comune di Giuggianello,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Giuggianello,LE,Puglia
c_l066,,Comune di Tavagnasco,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Tavagnasco,TO,Piemonte
c_d872,,Comune di Galliate,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Galliate,NO,Piemonte
agcm_,,Autorità garante della concorrenza e del mercato,55,385.0,95.06,100.0,100.0,90.0,75.0,20.0,2,1,Autorita Garante della Concorrenza e del Mercato,RM,Lazio
goolcd,,Camera di commercio di Torino,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,
arlfa,,"Agenzia regionale per il lavoro, la formazione e l'accreditamento",3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,"Agenzia regionale per il lavoro, la formazione e l'accreditamento",GE,Liguria
a13_f952,,ASL Novara,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Azienda Sanitaria Locale NO,NO,Piemonte
c_l008,,Comune di Supersano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Supersano,LE,Puglia
c_l887,,Comune di Specchia,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Specchia,LE,Puglia
uni_ct,,Universita' degli Studi di Catania,30,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' degli Studi di Catania,CT,Sicilia
ufozkz,,Comune di Saluzzo,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,
c_e463,,Comune di La Spezia,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di La Spezia,SP,Liguria
pusv,,Puglia Sviluppo SpA,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Puglia Sviluppo S.P.A.,BA,Puglia
conbimte,,Consorzio BIM Vomano Tordino di Teramo,7,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Consorzio BIM Vomano Tordino di Teramo,TE,Abruzzo
c_c869,,Comune di Collesalvetti,17,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Collesalvetti,LI,Toscana
c_g712,,Comune di Pisticci,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Pisticci,MT,Basilicata
r_piemon,,Regione Piemonte,550,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Regione Piemonte,TO,Piemonte
adisu,,Adisu,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia per Il Diritto allo Studio Universitario di Puglia,BA,Puglia
c_b285,,Comune di Busca ,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Busca,CN,Piemonte
uni_fe,,Università degli Studi di Ferrara,23,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' degli studi di Ferrara,FE,Emilia-Romagna
p_is,,Provincia di Isernia,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Provincia di Isernia,IS,Molise
apmes,,Autorità di Sistema Portuale dello Stretto,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Autorita' di Sistema portuale dello Stretto,ME,Sicilia
udct,,Unione dei Comuni del Trasimeno,7,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Unione Dei Comuni del Trasimeno,PG,Umbria
c_e156,,Comune di Gravina di Catania,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Gravina di Catania,CT,Sicilia
c_i048,,Comune di Sannazzaro De' Burgondi,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Sannazzaro De' Burgondi,PV,Lombardia
ait_048,,Autorità Idrica Toscana,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Autorita Idrica Toscana,FI,Toscana
ipres,,IPRES,51,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Istituto Pugliese di Ricerche Economiche e Sociali Ipres,BA,Puglia
udsa_,,Università degli Studi dell'Aquila,16,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,UNIVERSITA' DEGLI STUDI DELL'AQUILA,AQ,Abruzzo
c_a281,,Comune di Andrano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Andrano,LE,Puglia
c_e038,,Comune di Gioia del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Gioia del Colle,BA,Puglia
c_a859,,Comune di Biella,7,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Biella,BI,Piemonte
c_c990,,Comune di Corciano,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Corciano,PG,Umbria
atsb,,Agenzia di Tutela della Salute di Bergamo,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia di Tutela della Salute di Bergamo,BG,Lombardia
c_e630,,Comune di Lizzano,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Lizzano,TA,Puglia
c_a453,,Comune di Arzachena,11,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Arzachena,OT,Sardegna
c_f881,,Comune di Neviano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Neviano,LE,Puglia
c_b690,,Comune di Caprarica di Lecce,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Caprarica di Lecce,LE,Puglia
crpuglia,,Consiglio Regionale della Puglia,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Consiglio Regionale della Puglia,BA,Puglia
c_b822,,Comune di Carpignano Salentino,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Carpignano Salentino,LE,Puglia
c_h645,,Comune di Ruvo di Puglia,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Ruvo di Puglia,BA,Puglia
c_d205,,Comune di Cuneo,45,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Cuneo,CN,Piemonte
agdogane,,Agenzia delle Dogane e dei Monopoli,31,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia delle Dogane e dei Monopoli,RM,Lazio
uni_udi,,Università degli studi di Udine,9,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' degli Studi di Udine,UD,Friuli-Venezia Giulia
c_f158,,Comune di Messina,102,385.0,95.06,100.0,100.0,90.0,75.0,20.0,2,1,Comune di Messina,ME,Sicilia
cds,,CGA Sicilia,436,385.0,95.06,100.0,100.0,90.0,75.0,20.0,31,1,Uffici Amministrativi del Consiglio di Stato e dei Tribunali Amministrativi Regionali 'non abilitato a ricevere atti giurisdizionali e ricorsi straordinari al Presidente della Repubblica',RM,Lazio
udsm_me,,Università degli Studi di Messina,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' degli Studi di Messina,ME,Sicilia
c_f994,,Comune di Occhiobello,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Occhiobello,RO,Veneto
c_e202,,Comune di Grosseto,104,384.62,94.97,100.0,100.0,89.62,75.0,20.0,1,1,Comune di Grosseto,GR,Toscana
c_f839,,Comune di Napoli,36,384.44,94.92,100.0,100.0,89.44,75.0,20.0,1,1,Comune di Napoli,NA,Campania
r_campan,,Regione Campania,366,384.34,94.9,100.0,99.56,90.0,74.78,20.0,1,1,Regione Campania,NA,Campania
c_f027,,Comune di Massafra,38,384.21,94.87,100.0,100.0,89.21,75.0,20.0,1,1,Comune di Massafra,TA,Puglia
artpp,,ARET - Pugliapromozione,23,384.13,94.85,100.0,100.0,89.13,75.0,20.0,1,1,Agenzia Regionale del Turismo - Pugliapromozione,BA,Puglia
r_puglia,,Regione Puglia,247,383.91,94.79,100.0,99.6,89.31,75.0,20.0,1,1,Regione Puglia,BA,Puglia
c_g636,,Comune di Pieve a Nievole,16,383.89,94.79,100.0,94.07,94.81,75.0,20.0,1,1,Comune di Pieve a Nievole,PT,Toscana
c_i187,,Comune di Santa Fiora,15,383.67,94.73,100.0,100.0,88.67,75.0,20.0,1,1,Comune di Santa Fiora,GR,Toscana
