chiave,etichetta,slug,n_dataset,media,pct,mediana,min,max,rating,n_excellent,n_bad,n_publisher
ddbb8cb6-dcca-492f-b5d0-70706a55c9af,Comune di Cassano Allo Ionio,comune-di-cassano-allo-ionio,9,379.44,93.69,385,335,385,Excellent,8,0,1
6d631e37-cc73-469f-9d51-7f81acba3cb2,Agenzia di Tutela della Salute di Pavia,agenzia-di-tutela-della-salute-di-pavia,13,378.08,93.35,385,355,385,Excellent,13,0,1
13739888-6a55-4d0c-8c07-829568bbe177,Comune di Matera,comune-di-matera,249,375.8,92.79,385,305,385,Excellent,224,0,4
cf59d4fe-9521-4f97-b463-c2e8f1d4e647,Ministero del Lavoro,ministero-del-lavoro,83,375.0,92.59,375,375,375,Excellent,83,0,1
85194b17-e484-4141-9420-17cf8e31ab59,Pagopa S P a,pagopa-s-p-a,12,375.0,92.59,375,375,375,Excellent,12,0,1
7c195bc7-e5c2-4cea-8703-f5985de14972,Asst Fatebenefratelli Sacco,asst-fatebenefratelli-sacco,3,375.0,92.59,375,375,375,Excellent,3,0,1
9e6524d8-1e13-4a6c-97b4-11260c86ff67,Azienda Ospedaliera di Rilievo Nazionale Antonio Cardarelli,azienda-ospedaliera-di-rilievo-nazionale-antonio-cardarelli,10,375.0,92.59,375,375,375,Excellent,10,0,1
e238a315-2b93-4e69-b7f3-e550df6b12e1,Asst Spedali Civili di Brescia,asst-spedali-civili-di-brescia,8,375.0,92.59,375,375,375,Excellent,8,0,1
982b093a-0926-4c5c-825a-c4146f301ac0,Azienda Sanitaria Regione Molise,azienda-sanitaria-regione-molise,3,375.0,92.59,375,375,375,Excellent,3,0,1
cf70b8a1-7e49-4592-9dff-b350535c81ec,Unione di Comuni Terre di Vini e di Tartufi,unione-di-comuni-terre-di-vini-e-di-tartufi,1,375.0,92.59,375,375,375,Excellent,1,0,1
2d9eea42-cb60-48fd-9a8a-36ad3691a0ac,Citta Metropolitana di Catania,citta-metropolitana-di-catania,22,373.18,92.14,405,305,405,Excellent,16,0,1
bc5f05ae-4696-4db9-985a-88a78eab0da9,Comune di Beinasco,comune-di-beinasco,3,371.67,91.77,355,355,405,Excellent,3,0,1
58f47ff9-996f-418a-938d-da7ac109079d,Agenzia Nazionale per la Meteorologia e Climatologia Italiameteo,agenzia-nazionale-per-la-meteorologia-e-climatologia-italiameteo,8,370.0,91.36,365,365,385,Excellent,8,0,1
11f2e211-b3ec-4eb2-a905-920eb858b14c,Consorzio dei Comuni della Valle d'Aosta Bacino Imbrifero Montano della Dora Baltea,consorzio-dei-comuni-della-valle-d-aosta-bacino-imbrifero-montano-della-dora-baltea,5,367.0,90.62,355,355,385,Excellent,5,0,1
78467e9f-bb14-444a-87e0-0faa4e4beca0,IVASS Istituto per la Vigilanza Sulle Assicurazioni,ivass-istituto-per-la-vigilanza-sulle-assicurazioni,19,365.0,90.12,365,365,365,Excellent,19,0,1
d93b6fc2-fd8f-498e-b3ec-bccb6c29ba65,Consorzio per la Ricerca Sulla Filiera Lattiero Casearia,consorzio-per-la-ricerca-sulla-filiera-lattiero-casearia,12,365.0,90.12,385,305,385,Excellent,9,0,1
(sconosciuto),(sconosciuto),,2399,364.27,89.94,385,255,385,Excellent,1742,0,289
ab0d75c7-04eb-4b48-b811-d4ca97bf1406,Politecnico di Torino,politecnico-di-torino,12,363.33,89.71,355,355,405,Excellent,12,0,1
9a8e1504-1866-47db-8588-d6068902f965,Comune di Flero,comune-di-flero,53,360.28,88.96,385,305,385,Excellent,37,0,1
8c5d1e2f-95c7-4bc4-aeaf-ec34a5b31313,Azienda Socio Sanitaria Territoriale della Brianza,azienda-socio-sanitaria-territoriale-della-brianza,10,360.0,88.89,355,355,405,Excellent,10,0,1
3ec7e9b4-3062-43b3-a200-104513b81936,Pcm Opencoesione,pcm-opencoesione,561,359.33,88.72,355,355,385,Excellent,561,0,1
585452e2-12b4-4187-89d6-c33068eff19f,Regione Puglia,regione-puglia,2012,358.48,88.51,385,255,405,Excellent,1366,0,246
e8c2e2f1-1cf7-4e2f-a559-389ecaf779a7,Unione dei Comuni Valdostani Walser,unione-dei-comuni-valdostani-walser,3,358.33,88.48,345,345,385,Excellent,1,0,1
49a01f53-cd1b-4629-9e2e-64f61a788e41,Ministero delle Imprese e del Made in Italy,ministero-delle-imprese-e-del-made-in-italy,370,355.43,87.76,385,305,385,Excellent,231,0,1
7c47be6b-7409-45b5-bf9b-20e1e55be759,Comune di Deliceto,comune-di-deliceto,3,355.0,87.65,355,355,355,Excellent,3,0,1
d62208e2-c944-4578-a792-7cec058137c0,Provincia di Avellino,provincia-di-avellino,10,355.0,87.65,355,355,355,Excellent,10,0,1
aef1d1e0-3f4b-41cf-bebb-f34390847f42,Unione Italiana delle Camere di Commercio Industria Artigianato e Agricoltura,unione-italiana-delle-camere-di-commercio-industria-artigianato-e-agricoltura,422,355.0,87.65,355,355,355,Excellent,422,0,1
5c562a2c-ee7a-4a78-8f3d-73642b166e5c,INAIL,inail,102,355.0,87.65,355,355,355,Excellent,102,0,2
